# Time-averaged data for fix rdfid330
# TimeStep Number-of-rows
# Row c_myRDF330[1] c_myRDF330[2] c_myRDF330[4] c_myRDF330[6]
2000 1024
190 1.85059e-09 0.897652 1.13203 1.37134
191 1.86035e-09 0.905222 1.11246 1.42373
192 1.87012e-09 0.896539 1.15772 1.36169
193 1.87988e-09 0.935812 1.18003 1.39504
194 1.88965e-09 0.921961 1.16522 1.29714
195 1.89941e-09 0.896589 1.12318 1.41172
196 1.90918e-09 0.917696 1.12675 1.39158
197 1.91895e-09 0.921847 1.07848 1.67658
198 1.92871e-09 0.976564 1.10991 1.63649
199 1.93848e-09 0.98863 1.04723 1.62335
200 1.94824e-09 0.983557 1.0566 1.5086
201 1.95801e-09 1.05088 1.09234 1.44559
202 1.96777e-09 1.02884 1.09457 1.34314
203 1.97754e-09 1.02939 1.07011 1.34526
204 1.9873e-09 0.992362 1.08182 1.34364
205 1.99707e-09 0.913634 1.05018 1.52867
206 2.00684e-09 0.95953 1.05051 1.55806
207 2.0166e-09 0.960047 1.01519 1.51525
208 2.02637e-09 1.02996 0.991381 1.6035
209 2.03613e-09 0.951161 0.980007 1.57556
210 2.0459e-09 0.97453 0.996528 1.57661
211 2.05566e-09 0.957263 1.01207 1.49249
212 2.06543e-09 0.982496 1.02056 1.4807
213 2.0752e-09 0.973574 1.04299 1.44892
214 2.08496e-09 1.00335 1.08431 1.52214
215 2.09473e-09 0.972903 1.01821 1.49445
216 2.10449e-09 0.97966 1.01835 1.53145
217 2.11426e-09 0.978222 0.995109 1.4766
218 2.12402e-09 0.98675 1.01091 1.52352
219 2.13379e-09 0.95151 0.949056 1.46675
220 2.14355e-09 0.976377 0.951991 1.46364
221 2.15332e-09 1.01398 0.970791 1.50979
222 2.16309e-09 0.920053 1.00175 1.3775
223 2.17285e-09 0.967502 0.954246 1.41933
224 2.18262e-09 1.02982 0.965294 1.43104
225 2.19238e-09 0.975456 0.944033 1.38532
226 2.20215e-09 0.938566 0.919346 1.45017
227 2.21191e-09 0.912425 0.930632 1.48194
228 2.22168e-09 0.925706 0.908601 1.35511
229 2.23145e-09 0.914869 0.915525 1.3957
230 2.24121e-09 1.0098 0.939621 1.41565
231 2.25098e-09 0.999258 0.963328 1.45388
232 2.26074e-09 0.952596 0.957383 1.34648
233 2.27051e-09 0.975179 0.931146 1.22619
234 2.28027e-09 0.993826 0.958981 1.2629
235 2.29004e-09 1.00528 0.963437 1.39997
236 2.2998e-09 0.985654 0.980847 1.23709
237 2.30957e-09 0.975257 0.933768 1.13845
238 2.31934e-09 0.930669 0.929617 1.16952
239 2.3291e-09 0.920716 0.933014 1.22806
240 2.33887e-09 0.941673 0.94234 1.19659
241 2.34863e-09 0.955625 0.93777 1.25551
242 2.3584e-09 0.986326 0.988973 1.27646
243 2.36816e-09 0.984026 0.949914 1.22803
244 2.37793e-09 0.999964 0.951235 1.24554
245 2.3877e-09 0.997982 0.954848 1.2902
246 2.39746e-09 0.987371 0.947822 1.25666
247 2.40723e-09 1.00393 0.952916 1.26057
248 2.41699e-09 0.97885 0.92866 1.21041
249 2.42676e-09 1.00922 0.918932 1.1301
250 2.43652e-09 1.05643 0.906913 1.19966
251 2.44629e-09 1.00581 0.908129 1.1552
252 2.45605e-09 1.05603 0.87974 1.09032
253 2.46582e-09 1.04253 0.914385 1.06711
254 2.47559e-09 1.0306 0.913674 1.04242
255 2.48535e-09 1.00889 0.893844 1.08431
256 2.49512e-09 0.973541 0.924557 1.11882
257 2.50488e-09 0.977093 0.914453 1.07818
258 2.51465e-09 0.971273 0.953601 1.14289
259 2.52441e-09 1.00299 0.97043 1.12863
260 2.53418e-09 1.02871 0.938806 1.09526
261 2.54395e-09 1.03938 0.933627 0.999548
262 2.55371e-09 0.978009 0.960837 0.99572
263 2.56348e-09 1.01307 0.979025 1.03214
264 2.57324e-09 0.999485 0.963634 0.997021
265 2.58301e-09 0.987247 0.945321 1.04916
266 2.59277e-09 1.0072 0.929582 0.987299
267 2.60254e-09 1.01565 0.920261 0.993777
268 2.6123e-09 0.982153 0.926863 0.947728
